year,ticker,com_name,size,capex,total_debt,d_to_e,ocf,total_equity,ld_to_e,sich
2017,VMC,VULCAN MATERIALS CO,9504.891,459.566,2854.865,0.57454749,644.678,4968.893,1,1400
2018,VMC,VULCAN MATERIALS CO,9832.13,469.088,2779.38,0.534197928,832.777,5202.903,1,1400
2019,VMC,VULCAN MATERIALS CO,10648.793,384.094,3202.353,0.569625481,984.122,5621.857,1,1400
2020,VMC,VULCAN MATERIALS CO,11686.905,362.194,3730.412,0.61891617,1070.359,6027.33,0,1400
2021,VMC,VULCAN MATERIALS CO,13682.6,451.3,4667.6,0.710690196,1011.9,6567.7,0,1400
2022,VMC,VULCAN MATERIALS CO,14234.6,612.6,4529.3,0.651491614,1148.2,6952.2,0,1400
2023,VMC,VULCAN MATERIALS CO,14545.7,872.6,4461.6,0.594254052,1536.8,7507.9,1,1400
2024,VMC,VULCAN MATERIALS CO,17104.8,603.5,5898.5,0.724408965,1409.6,8142.5,0,1400
2014,VTGDF,VANTAGE DRILLING CO,3529.857,51.746,2728.18,4.909677257,247.624,555.674,0,1381
2014,VTLE,VITAL ENGY INC,3932.549,1353.547,1801.295,1.152311827,498.277,1563.201,0,1311
2015,VTLE,VITAL ENGY INC,1813.287,632.601,1416.226,10.77412189,315.947,131.447,0,1311
2016,VTLE,VITAL ENGY INC,1782.346,498.19,1353.909,7.497848516,356.295,180.573,0,1311
2017,VTLE,VITAL ENGY INC,2023.289,563.914,791.855,1.034321736,384.914,765.579,0,1311
2018,VTLE,VITAL ENGY INC,2420.305,705.214,983.636,0.837685973,537.804,1174.23,0,1311
2019,VTLE,VITAL ENGY INC,2264.437,668.612,1201.667,1.427371554,475.074,841.874,0,1311
2021,VTLE,VITAL ENGY INC,2551.824,1190.553,1439.326,2.801444198,496.671,513.78,0,1311
2022,VTLE,VITAL ENGY INC,2726.114,586.717,1137.907,1.024452935,829.62,1110.746,0,1311
2023,VTLE,VITAL ENGY INC,5149.581,1480.926,1751.418,0.628817377,812.956,2785.257,0,1311
2024,VTLE,VITAL ENGY INC,5878.946,1738.689,2554.118,0.945769617,1000.33,2700.571,0,1311
2023,VTS,VITESSE ENERGY INC,765.97,120.666,81,0.148241418,141.942,546.406,1,1311
2024,VTS,VITESSE ENERGY INC,810.893,,117,0.233843792,,500.334,1,1311
2014,WES.3,WESTERN GAS PARTNERS LP,6751.631,673.004,2422.954,0.603946892,534.807,4011.866,1,1311
2015,WES.3,WESTERN GAS PARTNERS LP,6707.262,602.289,2896.031,0.830419822,669.609,3487.43,0,1311
2016,WES.3,WESTERN GAS PARTNERS LP,7733.028,479.993,3132.901,0.757511705,917.585,4135.779,0,1311
2017,WES.3,WESTERN GAS PARTNERS LP,8014.35,675.025,3464.712,0.872501235,901.495,3971.011,0,1311
2018,WES.3,WESTERN GAS PARTNERS LP,9236.282,1193.896,4787.381,1.355592215,1020.634,3531.579,0,1311
2014,WFRD,WEATHERFORD INTL PLC,18889,1450,6848,0.973695436,963,7033,0,1381
2021,WFRD,WEATHERFORD INTL PLC,4774,85,2615,5.272177419,322,496,0,1381
2022,WFRD,WEATHERFORD INTL PLC,4720,132,2409,4.372050817,349,551,0,1381
2023,WFRD,WEATHERFORD INTL PLC,5068,209,2060,2.234273319,832,922,0,1381
2024,WFRD,WEATHERFORD INTL PLC,5159,299,1788,1.39360873,792,1283,0,1381
2018,WHD,CACTUS INC,584.744,70.053,16.094,0.044418317,167.18,362.328,1,3533
2019,WHD,CACTUS INC,834.964,59.703,37.665,0.072938351,209.632,516.395,1,3533
2020,WHD,CACTUS INC,815.594,24.493,28.132,0.051077582,143.38,550.77,1,3533
2021,WHD,CACTUS INC,982.078,13.939,33.208,0.055808669,63.759,595.033,1,3533
2022,WHD,CACTUS INC,1118.896,28.291,35.521,0.049998241,117.884,710.445,1,3533
2023,WHD,CACTUS INC,1522.561,43.977,39.973,0.037541441,340.28,1064.77,1,3533
2024,WHD,CACTUS INC,1739.328,39.176,41.716,0.032998492,316.113,1264.179,1,3533
2014,WLL,WHITING PETROLEUM CORP,14019.504,2968.365,5628.782,0.986978533,1815.302,5703.044,0,1311
2015,WLL,WHITING PETROLEUM CORP,11389.085,2496.933,5197.704,1.092278634,1051.392,4758.588,0,1311
2016,WLL,WHITING PETROLEUM CORP,9876.142,553.181,3535.303,0.686574321,595.01,5149.192,0,1311
2017,WLL,WHITING PETROLEUM CORP,8403.034,856.577,3723.429,0.950062284,577.109,3919.142,0,1311
2018,WLL,WHITING PETROLEUM CORP,7759.573,957.8,2792.321,0.653890953,1092.003,4270.316,0,1311
2019,WLL,WHITING PETROLEUM CORP,7636.721,805.847,2860.565,0.710704499,755.96,4024.971,0,1311
2020,WLL,WHITING PETROLEUM CORP,2043.94,276.66,399.414,0.325042887,194.781,1228.804,1,1311
2021,WLL,WHITING PETROLEUM CORP,2457.931,540.924,19.838,0.011924562,740.243,1663.625,1,1311
2014,WLTGQ,WALTER ENERGY INC,5386.129,92.999,3135.97,11.13700853,-139.704,281.581,0,1220
2014,WMB,WILLIAMS COS INC,50563,4031,20892,1.03569304,2115,20172,0,4922
2015,WMB,WILLIAMS COS INC,49020,3167,23988,1.478459168,2678,16225,0,4922
2016,WMB,WILLIAMS COS INC,46835,2051,23409,1.666595472,3664,14046,0,4922
2017,WMB,WILLIAMS COS INC,46352,2399,20935,1.294281298,2556,16175,0,4922
2018,WMB,WILLIAMS COS INC,45302,3256,22414,1.401137713,3293,15997,0,4922
2019,WMB,WILLIAMS COS INC,46040,2109,22497,1.374786116,3693,16364,0,4922
2020,WMB,WILLIAMS COS INC,44165,1239,22533,1.545155318,3496,14583,0,4922
2021,WMB,WILLIAMS COS INC,47612,1239,23839,1.69058932,3945,14101,0,4922
2022,WMB,WILLIAMS COS INC,48433,2253,22727,1.618155927,4889,14045,0,4922
2023,WMB,WILLIAMS COS INC,52627,2516,25885,1.738298301,5938,14891,0,4922
2024,WMB,WILLIAMS COS INC,54532,2573,26624,1.794070081,4974,14840,0,4922
2014,WMLPQ,WESTMORELAND RES PARTNERS LP,307.588,15.903,175.035,2.397050164,22.565,73.021,0,1220
2015,WMLPQ,WESTMORELAND RES PARTNERS LP,425.29,20.056,309.389,23.52052608,31.994,13.154,0,1220
2014,WNR,WESTERN REFINING INC,5682.558,223.271,1548.026,0.555316963,737.633,2787.644,1,2911
2015,WNR,WESTERN REFINING INC,5833.393,290.863,1704.626,0.57864236,843.083,2945.906,1,2911
2016,WNR,WESTERN REFINING INC,5560.397,300.969,1937.768,0.843622875,383.747,2296.96,0,2911
2014,WPX,WPX ENERGY INC,8798,1807,2281,0.515130985,1070,4428,1,1311
2015,WPX,WPX ENERGY INC,8350,1124,3190,0.902404526,811,3535,0,1311
2016,WPX,WPX ENERGY INC,7264,578,2575,0.742931333,262,3466,0,1311
2017,WPX,WPX ENERGY INC,8207,1161,2575,0.623939908,507,4127,0,1311
2018,WPX,WPX ENERGY INC,8203,1476,2485,0.577772611,883,4301,1,1311
2019,WPX,WPX ENERGY INC,8413,1362,2278,0.504540421,1257,4515,1,1311
2014,WPZ,WILLIAMS PARTNERS LP,49322,3692,16330,0.569287084,2345,28685,1,1311
2015,WPZ,WILLIAMS PARTNERS LP,47870,2795,19177,0.779362757,2661,24606,0,1311
2016,WPZ,WILLIAMS PARTNERS LP,46265,1944,18470,0.796017756,3938,23203,0,1311
2017,WPZ,WILLIAMS PARTNERS LP,45903,2415,16497,0.696399173,2840,23689,0,1311
2016,WRD.2,WILDHORSE RES DVLPT,1442.281,567.312,242.75,0.240850174,22.262,1007.888,1,1311
2017,WRD.2,WILDHORSE RES DVLPT,2778.1,1267.747,770.596,0.484415458,277.372,1590.775,1,1311
2018,WRD.2,WILDHORSE RES DVLPT,3255.03,1189.302,1191.376,0.685039796,616.526,1739.134,0,1311
2014,WRESQ,WARREN RESOURCES INC,818.68,415.305,432.438,1.478157729,84.005,292.552,0,1311
2014,WTI,W&T OFFSHORE INC,2709.107,629.952,1360.057,2.6704018,511.423,509.308,0,1311
2022,WTI,W&T OFFSHORE INC,1431.79,93.186,705.592,92.42756091,339.53,7.634,0,1311
2023,WTI,W&T OFFSHORE INC,1114.005,81.073,402.862,12.91555527,115.326,31.192,0,1311
2017,WTTR,SELECT WATER SOLUTIONS INC,1356.368,98.722,78.184,0.073524807,-2.899,1063.369,1,1389
2018,WTTR,SELECT WATER SOLUTIONS INC,1360.605,165.36,46.211,0.04160256,232.409,1110.773,1,1389
2019,WTTR,SELECT WATER SOLUTIONS INC,1347.62,110.143,91.673,0.082379593,203.948,1112.812,1,1389
2020,WTTR,SELECT WATER SOLUTIONS INC,875.359,21.239,75.404,0.106822387,105.81,705.882,1,1389
2021,WTTR,SELECT WATER SOLUTIONS INC,950.192,39.994,67.332,0.096856327,-16.248,695.174,1,1389
2022,WTTR,SELECT WATER SOLUTIONS INC,1222.853,71.884,80.163,0.090710037,33.231,883.728,1,1389
2023,WTTR,SELECT WATER SOLUTIONS INC,1218.19,135.866,53.545,0.060016454,285.355,892.172,1,1389
2024,WTTR,SELECT WATER SOLUTIONS INC,1366.282,173.153,133.093,0.145371991,234.886,915.534,1,1389
2014,XEC,CIMAREX ENERGY CO,8725.293,2198.861,1500,0.333286525,1619.365,4500.632,1,1311
2015,XEC,CIMAREX ENERGY CO,5243.286,1049.636,1485.62,0.531018938,691.5,2797.678,1,1311
2016,XEC,CIMAREX ENERGY CO,4237.724,721.786,1487.939,0.728314739,599.225,2042.989,0,1311
2017,XEC,CIMAREX ENERGY CO,5042.639,1278.478,1486.92,0.578956016,1096.564,2568.278,1,1311
2018,XEC,CIMAREX ENERGY CO,6062.084,1670.042,1488.554,0.447041942,1550.994,3329.786,1,1311
2019,XEC,CIMAREX ENERGY CO,7140.029,1323.49,2261.498,0.618273857,1343.966,3657.761,0,1311
2020,XEC,CIMAREX ENERGY CO,4621.989,650.976,2207.885,1.388401714,904.167,1590.235,0,1311
2016,XOG,EXTRACTION OIL & GAS INC,2784.776,876.264,538.141,0.304169879,116.388,1769.212,1,1311
2017,XOG,EXTRACTION OIL & GAS INC,3384.669,1410.201,1023.361,0.57649334,316.965,1775.148,1,1311
2018,XOG,EXTRACTION OIL & GAS INC,4166.027,1055.796,1417.659,0.68850049,684.933,2059.053,0,1311
2019,XOG,EXTRACTION OIL & GAS INC,2926.957,877.456,1590.331,2.323767929,557.957,684.376,0,1311
2014,XOM,EXXON MOBIL CORP,349493,32952,12423,0.068611099,45116,181064,1,2911
2015,XOM,EXXON MOBIL CORP,336758,26490,20483,0.11584752,30344,176810,1,2911
2016,XOM,EXXON MOBIL CORP,330314,16163,31892,0.183466605,22082,173830,1,2911
2017,XOM,EXXON MOBIL CORP,348691,15402,29172,0.149984576,30066,194500,1,2911
2018,XOM,EXXON MOBIL CORP,346196,19574,24608,0.123952289,36014,198528,1,2911
2019,XOM,EXXON MOBIL CORP,362597,24361,33890,0.170354583,29716,198938,1,2911
2020,XOM,EXXON MOBIL CORP,332750,17282,55413,0.337616523,14668,164130,1,2911
2021,XOM,EXXON MOBIL CORP,338923,12076,51145,0.291120939,48129,175683,1,2911
2022,XOM,EXXON MOBIL CORP,369067,18407,46465,0.229487388,76797,202473,1,2911
2023,XOM,EXXON MOBIL CORP,376317,21919,47628,0.224091692,55369,212538,1,2911
2024,XOM,EXXON MOBIL CORP,453475,24306,48246,0.17828873,55022,270606,1,2911
2021,XPRO,EXPRO GROUP HOLDINGS N V,1854.638,81.511,110.302,0.085006524,16.144,1297.571,1,1389
2022,XPRO,EXPRO GROUP HOLDINGS N V,1937.152,81.904,94.724,0.073663868,80.169,1285.895,1,1389
2023,XPRO,EXPRO GROUP HOLDINGS N V,2013.007,122.11,110.884,0.085567027,138.309,1295.873,1,1389
2024,XPRO,EXPRO GROUP HOLDINGS N V,2333.541,143.576,203.046,0.136136895,169.479,1491.484,1,1389
2014,YUMA.1,YUMA ENERGY INC -OLD,147.596,25.527,23.183,0.288809159,24.466,80.271,1,1311
2015,YUMA.1,YUMA ENERGY INC -OLD,119.621,13.541,30.064,0.431922994,-1.37,69.605,1,1311
2016,YUMAQ,YUMA ENERGY INC,97.939,10.067,40.099,1.272782098,-4.299,31.505,0,1311
2017,YUMAQ,YUMA ENERGY INC,90.636,10.705,28.351,0.790359901,3.246,35.871,0,1311
2018,YUMAQ,YUMA ENERGY INC,77.361,8.19,34.743,1.595765203,3.819,21.772,0,1311
2016,ZNOG,ZION OIL & GAS INC,11.65,1.218,1.826,0.238225701,-6.341,7.665,1,1311
2017,ZNOG,ZION OIL & GAS INC,33.548,10.885,2.041,0.083510638,-8.095,24.44,1,1311
2018,ZNOG,ZION OIL & GAS INC,12.521,15.95,2.241,0.436927276,-5.833,5.129,1,1311
2019,ZNOG,ZION OIL & GAS INC,18.656,6.609,3.282,0.246322426,-5.809,13.324,1,1311
2020,ZNOG,ZION OIL & GAS INC,43.503,9.719,3.531,0.100572503,-9.921,35.109,1,1311
2021,ZNOG,ZION OIL & GAS INC,63.431,29.022,0.372,0.006483547,-5.813,57.376,1,1311
2022,ZNOG,ZION OIL & GAS INC,27.515,16.267,0.208,0.009004329,-5.704,23.1,1,1311
2023,ZNOG,ZION OIL & GAS INC,25.181,2.354,0.191,0.008674721,-5.133,22.018,1,1311
