year,ticker,com_name,size,capex,total_debt,d_to_e,ocf,total_equity,ld_to_e,sich
2022,AMR,ALPHA METALLURGICAL RESOURCE,2312.479,164.309,15.463,0.01081514,1484.005,1429.755,1,1220
2023,AMR,ALPHA METALLURGICAL RESOURCE,2406.057,245.373,14.412,0.009156709,851.159,1573.928,1,1220
2024,AMR,ALPHA METALLURGICAL RESOURCE,2438.708,198.848,9.348,0.005667182,579.919,1649.497,1,1220
2018,AMRQQ,ALTA MESA RESOURCES INC,1357.83,799.455,864.123,3.99821864,113.145,216.127,0,1311
2014,ANDV,ANDEAVOR,16584,685,4260,0.610665138,1364,6976,0,2911
2015,ANDV,ANDEAVOR,16332,1030,4073,0.52622739,2131,7740,1,2911
2016,ANDV,ANDEAVOR,20398,894,6933,0.853082318,1304,8127,0,2911
2017,ANDV,ANDEAVOR,28573,1346,7685,0.572866195,1630,13415,1,2911
2014,ANRZQ,ALPHA NATURAL RESOURCES INC,10736.148,227.168,3897.77,1.304998661,-283.859,2986.8,0,1220
2014,APA,APA CORP,55952,12372,11245,0.399651704,8461,28137,1,1311
2015,APA,APA CORP,18842,5178,8778,2.07615894,2984,4228,0,1311
2016,APA,APA CORP,22519,1949,8544,1.112644876,2430,7679,0,1311
2017,APA,APA CORP,21922,2760,8484,0.965077921,2428,8791,0,1311
2018,APA,APA CORP,21582,3904,8204,0.931003177,3777,8812,0,1311
2019,APA,APA CORP,18107,2961,8932,2.000447928,2867,4465,0,1311
2022,APA,APA CORP,13147,2398,5753,4.27732342,4943,1345,0,1311
2023,APA,APA CORP,15244,2357,5469,1.481712273,3129,3691,0,1311
2024,APA,APA CORP,19390,2911,6417,1.00864508,3620,6362,0,1311
2014,APC,ANADARKO PETROLEUM CORP,61689,9508,15092,0.676225468,8466,22318,0,1311
2015,APC,ANADARKO PETROLEUM CORP,46414,6067,15751,1.019020509,-1877,15457,0,1311
2016,APC,ANADARKO PETROLEUM CORP,45564,3505,15323,0.98877202,3000,15497,0,1311
2017,APC,ANADARKO PETROLEUM CORP,42086,5031,15689,1.137708484,4009,13790,0,1311
2018,APC,ANADARKO PETROLEUM CORP,40376,6183,16417,1.500228457,5929,10943,0,1311
2014,AR,ANTERO RESOURCES CORP,11573.495,4086.568,4362.55,0.7969831,998.121,5473.83,0,1311
2015,AR,ANTERO RESOURCES CORP,14155.224,2347.909,4708.513,0.646181017,1006.381,7286.678,0,1311
2016,AR,ANTERO RESOURCES CORP,14255.55,2495.429,4703.973,0.608646636,1241.256,7728.578,1,1311
2017,AR,ANTERO RESOURCES CORP,15261.49,2216.753,4800.09,0.540785991,2006.291,8876.136,1,1311
2018,AR,ANTERO RESOURCES CORP,15519.464,2210.586,5461.688,0.643499594,2081.987,8487.477,0,1311
2019,AR,ANTERO RESOURCES CORP,15197.569,1422.155,6647.866,0.953681121,483.926,6970.743,0,1311
2020,AR,ANTERO RESOURCES CORP,13150.845,874.357,5616.402,0.922192461,735.64,6090.271,0,1311
2021,AR,ANTERO RESOURCES CORP,13896.528,715.936,5545.906,0.914246932,1660.116,6066.092,0,1311
2022,AR,ANTERO RESOURCES CORP,14118.039,943.971,4629.966,0.659806811,3051.342,7017.154,0,1311
2023,AR,ANTERO RESOURCES CORP,13619.414,1131.863,4506.106,0.624624659,994.721,7214.102,0,1311
2024,AR,ANTERO RESOURCES CORP,13010.05,716.779,4033.461,0.558919498,849.288,7216.533,1,1311
2014,ARCH,ARCH RESOURCES INC,8429.723,147.286,5160.37,3.093461395,-33.582,1668.154,0,1220
2016,ARCH,ARCH RESOURCES INC,2136.597,97.648,362.879,0.486057031,-144.026,746.577,1,1220
2017,ARCH,ARCH RESOURCES INC,1979.632,59.205,325.917,0.489464081,396.473,665.865,1,1220
2018,ARCH,ARCH RESOURCES INC,1887.06,95.272,317.983,0.451154265,417.963,704.821,1,1220
2019,ARCH,ARCH RESOURCES INC,1867.756,266.356,330.62,0.516161465,419.714,640.536,1,1220
2020,ARCH,ARCH RESOURCES INC,1722.472,285.821,531.918,1.875850346,61.106,283.561,0,1220
2021,ARCH,ARCH RESOURCES INC,2117.16,245.44,581.006,0.849590417,238.284,683.866,0,1220
2022,ARCH,ARCH RESOURCES INC,2433.108,172.728,191.089,0.139932483,1209.54,1365.58,1,1220
2023,ARCH,ARCH RESOURCES INC,2484.173,176.037,153.855,0.103994306,635.374,1479.456,1,1220
2022,AREC,AMERICAN RESOURCES CORP,55.916,,23.493,82.72183099,6.076,0.284,0,1220
2023,AREC,AMERICAN RESOURCES CORP,91.746,,57.833,258.1830357,-14.515,0.224,0,1220
2014,AREXQ,APPROACH RESOURCES INC,1401.427,393.53,400,0.516577622,180.206,774.327,1,1311
2015,AREXQ,APPROACH RESOURCES INC,1174.984,151.245,496.587,0.816799267,102.716,607.967,0,1311
2016,AREXQ,APPROACH RESOURCES INC,1104.555,19.804,498.349,0.885242436,26.081,562.952,0,1311
2017,AREXQ,APPROACH RESOURCES INC,1099.576,47.065,373.46,0.614833985,37.454,607.416,0,1311
2018,AREXQ,APPROACH RESOURCES INC,1084.647,46.767,384.993,0.653366596,34.744,589.245,0,1311
2021,ARIS,ARIS WATER SOLUTIN INC,1126.693,74.664,392.051,0.650664936,58.812,602.539,0,1389
2022,ARIS,ARIS WATER SOLUTIN INC,1303.366,146.525,437.816,0.666298374,70.213,657.087,0,1389
2023,ARIS,ARIS WATER SOLUTIN INC,1340.481,169.736,438.184,0.636994416,183.873,687.893,0,1389
2014,ARLP,ALLIANCE RESOURCE PTNRS  -LP,2285.059,311.469,838.179,0.825753881,739.201,1015.047,0,1220
2015,ARLP,ALLIANCE RESOURCE PTNRS  -LP,2363.13,212.797,919.264,0.92914734,716.342,989.363,0,1220
2016,ARLP,ALLIANCE RESOURCE PTNRS  -LP,2193.042,91.056,662.056,0.605488813,703.544,1093.424,1,1220
2017,ARLP,ALLIANCE RESOURCE PTNRS  -LP,2219.371,145.088,574.041,0.49852191,556.116,1151.486,1,1220
2018,ARLP,ALLIANCE RESOURCE PTNRS  -LP,2394.748,233.48,713.321,0.60059679,694.345,1187.687,1,1220
2019,ARLP,ALLIANCE RESOURCE PTNRS  -LP,2586.694,305.858,809.51,0.639714436,514.895,1265.424,0,1220
2020,ARLP,ALLIANCE RESOURCE PTNRS  -LP,2166.016,121.101,609.776,0.568679256,400.645,1072.267,1,1220
2021,ARLP,ALLIANCE RESOURCE PTNRS  -LP,2159.406,122.984,450.657,0.367562511,425.202,1226.069,1,1220
2022,ARLP,ALLIANCE RESOURCE PTNRS  -LP,2661.473,286.394,434.305,0.264581676,791.812,1641.478,1,1220
2023,ARLP,ALLIANCE RESOURCE PTNRS  -LP,2788.426,403.563,350.82,0.188755282,830.642,1858.597,1,1220
2024,ARLP,ALLIANCE RESOURCE PTNRS  -LP,2915.73,453.474,486.798,0.262632497,803.131,1853.533,1,1220
2014,AROC,ARCHROCK INC,4857.147,541.695,2026.902,1.037816333,379.369,1953.045,0,3533
2015,AROC,ARCHROCK INC,2706.763,256.142,1588.465,2.017715898,427.58,787.259,0,3533
2016,AROC,ARCHROCK INC,2414.779,117.572,1441.724,2.104927817,274.072,684.928,0,3533
2017,AROC,ARCHROCK INC,2408.007,221.693,1417.053,1.926343564,201.916,735.618,0,3533
2018,AROC,ARCHROCK INC,2552.515,319.102,1529.501,1.817429008,225.947,841.574,0,3533
2019,AROC,ARCHROCK INC,3109.975,385.198,1861.68,1.71431255,290.147,1085.963,0,3533
2020,AROC,ARCHROCK INC,2779.722,140.302,1709.356,1.827099792,335.278,935.557,0,3533
2021,AROC,ARCHROCK INC,2589.966,97.885,1549.705,1.738432735,237.4,891.438,0,3533
2022,AROC,ARCHROCK INC,2598.75,239.867,1566.439,1.819974137,203.45,860.693,0,3533
2023,AROC,ARCHROCK INC,2655.95,298.632,1600.3,1.837269136,310.187,871.021,0,3533
2024,AROC,ARCHROCK INC,3824.205,359.032,2214.912,1.673487058,429.591,1323.531,0,3533
2014,ATLS,ATLAS ENERGY GROUP LLC,7866.636,873.383,3570.57,1.062434073,154.802,3360.745,0,1311
2015,ATLS,ATLAS ENERGY GROUP LLC,1918.114,156.36,1607.182,201.9326549,7.065,7.959,0,1311
2016,ATLS,ATLAS ENERGY GROUP LLC,105.076,27.757,81.1,56.55509066,179.097,1.434,0,1311
2014,ATW,ATWOOD OCEANICS,4507.228,975.731,1742.122,0.681708331,442.62,2555.524,0,1381
2015,ATW,ATWOOD OCEANICS,4809.011,448.019,1685.946,0.572055904,604.287,2947.17,1,1381
2016,ATW,ATWOOD OCEANICS,4539.792,223.731,1227.919,0.380115256,625.008,3230.386,1,1381
2014,AXAS,ABRAXAS PETROLEUM CORP/NV,374.899,192.799,78.789,0.379715174,96.203,207.495,1,1311
2015,AXAS,ABRAXAS PETROLEUM CORP/NV,267.872,69.391,140.732,1.66615758,6.979,84.465,0,1311
2016,AXAS,ABRAXAS PETROLEUM CORP/NV,161.648,31.663,97.402,5.263550392,26.872,18.505,0,1311
2017,AXAS,ABRAXAS PETROLEUM CORP/NV,273.806,108.236,87.616,0.824171276,38.123,106.308,0,1311
2018,AXAS,ABRAXAS PETROLEUM CORP/NV,425.89,179.509,183.358,1.101183112,80,166.51,0,1311
2019,AXAS,ABRAXAS PETROLEUM CORP/NV,354.631,108.673,193.299,1.861884626,73.647,103.819,0,1311
2022,AXAS,ABRAXAS PETROLEUM CORP/NV,70.547,1.544,0.001,1.64E-05,20.312,61.137,1,1311
2014,BASXQ,BASIC ENERGY SERVICES INC,1597.177,236.295,931.147,2.71746344,224.536,342.653,0,1389
2015,BASXQ,BASIC ENERGY SERVICES INC,1161.369,53.868,887.019,8.341505388,95.539,106.338,0,1389
2016,BASXQ,BASIC ENERGY SERVICES INC,768.16,32.689,223.22,0.538647903,-151.489,414.408,1,1389
2017,BASXQ,BASIC ENERGY SERVICES INC,820.48,63.361,315.239,0.930861383,25.947,338.653,0,1389
2018,BASXQ,BASIC ENERGY SERVICES INC,761.777,68.709,349.74,1.593871338,74.339,219.428,0,1389
2014,BATL,BATTALION OIL CORP,6434.475,1567.424,3746.736,2.114209198,667.934,1772.169,0,1311
2015,BATL,BATTALION OIL CORP,3458.692,670.257,2873.637,54.82575266,466.999,52.414,0,1311
2016,BATL,BATTALION OIL CORP,1319.67,289.776,964.653,8.560387974,278.484,112.688,0,1311
2017,BATL,BATTALION OIL CORP,1643.62,1428.555,409.168,0.381687279,114.591,1071.998,1,1311
2018,BATL,BATTALION OIL CORP,2083.609,926.537,613.105,0.51218251,67.155,1197.044,1,1311
2020,BATL,BATTALION OIL CORP,346.497,101.893,160.612,1.78541097,50.197,89.958,0,1311
2021,BATL,BATTALION OIL CORP,390.267,52.928,182.371,2.862742328,68.572,63.705,0,1311
2022,BATL,BATTALION OIL CORP,485.358,126.625,218.095,2.577102141,78.801,84.628,0,1311
2023,BATL,BATTALION OIL CORP,485.338,46.441,191.466,1.096874356,17.589,174.556,0,1311
2014,BBEPQ,BREITBURN ENERGY PARTNERS LP,7638.334,819.22,3352.16,0.890069928,357.755,3766.176,0,1311
2015,BBEPQ,BREITBURN ENERGY PARTNERS LP,4872.412,287.551,3021.157,2.148920794,436.705,1405.895,0,1311
2016,BBEPQ,BREITBURN ENERGY PARTNERS LP,4115.408,84.458,1201.353,1.982342371,174.46,606.027,0,1311
2014,BHI,BAKER HUGHES INC,28827,1791,4133,0.22066204,2953,18730,1,1381
2015,BHI,BAKER HUGHES INC,24080,965,4041,0.246673178,1796,16382,1,1381
2016,BHI,BAKER HUGHES INC,19034,332,3018,0.236947476,4229,12737,1,1381
2017,BKR,BAKER HUGHES CO,57050,665,6951,0.177443647,-799,39173,1,1389
2018,BKR,BAKER HUGHES CO,52439,995,6285,0.179504755,1762,35013,1,1389
2019,BKR,BAKER HUGHES CO,53369,1240,7143,0.20704948,2126,34499,1,1389
2020,BKR,BAKER HUGHES CO,38007,974,7553,0.414044513,1304,18242,1,1389
2021,BKR,BAKER HUGHES CO,35308,856,7547,0.450674788,2374,16746,1,1389
2022,BKR,BAKER HUGHES CO,34181,989,7398,0.509328744,1888,14525,1,1389
2023,BKR,BAKER HUGHES CO,36945,1224,6789,0.437463754,3062,15519,1,1389
2024,BKR,BAKER HUGHES CO,38363,1278,6696,0.392612137,3332,17055,1,1389
2024,BKV,BKV CORP,2231.088,100.916,165,0.10600373,118.538,1556.549,1,1311
2014,BOOM,DMC GLOBAL INC,219.329,21.403,22.782,0.147061292,23.313,154.915,1,3533
2015,BOOM,DMC GLOBAL INC,182.866,5.433,27.5,0.232222325,1.618,118.421,1,3533
2016,BOOM,DMC GLOBAL INC,162.555,5.719,15.732,0.139953207,18.198,112.409,1,3533
2017,BOOM,DMC GLOBAL INC,173.083,6.186,17.984,0.170013235,6.747,105.78,1,3533
2018,BOOM,DMC GLOBAL INC,240.418,45.095,41.355,0.307962111,27.638,134.286,1,3533
2019,BOOM,DMC GLOBAL INC,277.421,27.21,25.765,0.149673814,64.594,172.141,1,3533
2020,BOOM,DMC GLOBAL INC,279.645,13.853,23.071,0.117162822,30.362,196.914,1,3533
2021,BOOM,DMC GLOBAL INC,864.412,8.659,200.551,0.556274877,-12.812,360.525,1,3533
2022,BOOM,DMC GLOBAL INC,878.978,18.584,182.84,0.480340053,44.936,380.647,1,3533
2023,BOOM,DMC GLOBAL INC,884.495,15.974,163.247,0.397877137,65.927,410.295,1,3533
2024,BOOM,DMC GLOBAL INC,671.337,17.284,116.265,0.463260695,46.596,250.971,1,3533
2014,BPZRQ,BPZ RESOURCES INC,291.36,29.433,214.312,6.416911192,31.195,33.398,0,1311
2014,BRMR,BLUE RIDGE MOUNTAIN RESOURCE,1669.829,562.324,948.733,1.783818898,-18.665,531.855,0,1311
2014,BRN,BARNWELL INDUSTRIES,54.77,3.576,11.099,0.556480321,5.569,19.945,1,1311
2015,BRN,BARNWELL INDUSTRIES,41.553,2.542,3.44,0.17858997,-7.132,19.262,1,1311
2021,BRN,BARNWELL INDUSTRIES,24.435,1.934,0.344,0.036183865,0.831,9.507,1,1311
2022,BRN,BARNWELL INDUSTRIES,37.215,10.22,0.266,0.013882365,7.291,19.161,1,1311
2023,BRN,BARNWELL INDUSTRIES,35.421,11.632,0.118,0.006290985,1.943,18.757,1,1311
2024,BRN,BARNWELL INDUSTRIES,30.669,3.527,0.075,0.005741847,4.71,13.062,1,1311
2018,BRY,BERRY CORP,1692.263,127.281,391.786,0.389276722,103.1,1006.446,1,1311
2019,BRY,BERRY CORP,1690.198,225.994,394.319,0.405491091,241.829,972.448,1,1311
2020,BRY,BERRY CORP,1419.81,93.797,393.48,0.551064652,196.529,714.036,1,1311
2021,BRY,BERRY CORP,1456.479,133.113,394.566,0.569648653,122.488,692.648,1,1311
2022,BRY,BERRY CORP,1631.03,138.635,402.614,0.502962579,360.941,800.485,1,1311
2023,BRY,BERRY CORP,1594.158,81.071,436.063,0.575299218,198.657,757.976,1,1311
2015,BSM,BLACK STONE MINERALS LP,1061.436,116.703,66,0.072475465,284.735,910.653,1,1311
2016,BSM,BLACK STONE MINERALS LP,1128.827,221.74,316,0.435465045,196.656,725.661,1,1311
2017,BSM,BLACK STONE MINERALS LP,1576.451,484.522,388,0.355786063,281.852,1090.543,1,1311
2018,BSM,BLACK STONE MINERALS LP,1750.124,297.335,410,0.340921186,385.378,1202.624,1,1311
2019,BSM,BLACK STONE MINERALS LP,1545.208,111.301,394,0.359225532,412.72,1096.804,1,1311
2020,BSM,BLACK STONE MINERALS LP,1243.978,4.816,121,0.114262295,281.809,1058.967,1,1311
2021,BSM,BLACK STONE MINERALS LP,1247.921,14.635,89,0.083675793,256.88,1063.629,1,1311
2022,BSM,BLACK STONE MINERALS LP,1271.082,12.563,10,0.008265747,424.983,1209.812,1,1311
2024,BSM,BLACK STONE MINERALS LP,1218.906,115.031,25,0.022134883,389.043,1129.439,1,1311
2014,BTU,PEABODY ENERGY CORP,13191.1,194.4,5986.8,2.195782138,336.6,2726.5,0,1220
2015,BTU,PEABODY ENERGY CORP,11021.3,126.8,6315.6,6.875993468,-14.4,918.5,0,1220
2017,BTU,PEABODY ENERGY CORP,8181.2,199.4,1460.8,0.399584222,1011.2,3655.8,1,1220
2018,BTU,PEABODY ENERGY CORP,7423.7,688.4,1367,0.39604821,1489.7,3451.6,1,1220
2019,BTU,PEABODY ENERGY CORP,6542.8,287.8,1393.2,0.521309635,677.4,2672.5,1,1220
2020,BTU,PEABODY ENERGY CORP,4667.1,191.4,1614.4,1.645164578,-9.7,981.3,0,1220
2021,BTU,PEABODY ENERGY CORP,4949.8,183.1,1181.4,0.648835677,420,1820.8,0,1220
2022,BTU,PEABODY ENERGY CORP,5610.8,221.5,361.6,0.109748695,1173.6,3294.8,1,1220
2023,BTU,PEABODY ENERGY CORP,5962.1,348.3,399.2,0.110658351,1035.5,3607.5,1,1220
2024,BTU,PEABODY ENERGY CORP,5953.7,401.3,467.2,0.125970664,606.5,3708.8,1,1220
2014,CAM,CAMERON INTERNATIONAL CORP,12892,385,2881,0.529206466,1193,5444,1,3533
2015,CAM,CAMERON INTERNATIONAL CORP,11500,285,2826,0.524304267,708,5390,1,3533
2014,CCLP,CSI COMPRESSCO LP,1232.664,48.137,539.961,0.981245945,44.819,550.281,0,1382
2015,CCLP,CSI COMPRESSCO LP,980.45,95.272,580.746,1.748402869,101.893,332.158,0,1382
2016,CCLP,CSI COMPRESSCO LP,786.14,10.659,592.22,4.13419989,61.444,143.249,0,1382
2017,CCLP,CSI COMPRESSCO LP,742.932,25.126,582.436,6.12916329,39.068,95.027,0,1382
2018,CCLP,CSI COMPRESSCO LP,826.744,103.489,663.913,9.849902823,30.121,67.403,0,1382
2019,CCLP,CSI COMPRESSCO LP,822.246,75.798,674.106,13.75979261,67.696,48.991,0,1382
2021,CCLP,CSI COMPRESSCO LP,722.361,43.398,656.505,566.4408973,27.156,1.159,0,1382
2015,CCR,CONSOL COAL RESOURCES LP,422.129,27.257,181.095,0.993008719,60.795,182.37,0,1220
2016,CCR,CONSOL COAL RESOURCES LP,504.296,12.704,198.077,0.874241956,73.098,226.57,0,1220
2017,CCR,CONSOL COAL RESOURCES LP,494.239,19.496,196.733,0.922953142,72.642,213.156,0,1220
2018,CCR,CONSOL COAL RESOURCES LP,474.563,31.143,171.57,0.763415502,125.379,224.74,0,1220
2019,CCR,CONSOL COAL RESOURCES LP,496.094,37.177,204.082,0.96328253,81.125,211.861,0,1220
2014,CEI.2,CAMBER ENERGY INC -OLD,37.939,2.015,7.249,0.272467581,-1.477,26.605,1,1311
2014,CELPQ,CYPRESS ENVIRONMNTL PRTNS LP,189.842,0.517,77.6,0.772692874,13.016,100.428,0,1389
2015,CELPQ,CYPRESS ENVIRONMNTL PRTNS LP,192.687,1.857,140.9,3.461746352,26.921,40.702,0,1389
2016,CELPQ,CYPRESS ENVIRONMNTL PRTNS LP,167.512,1.376,135.699,6.999123169,24.819,19.388,0,1389
2017,CELPQ,CYPRESS ENVIRONMNTL PRTNS LP,163.203,3.345,136.293,13.64977466,8.253,9.985,0,1389
2018,CELPQ,CYPRESS ENVIRONMNTL PRTNS LP,152.853,5.762,76.529,1.409711349,15.409,54.287,0,1389
2019,CELPQ,CYPRESS ENVIRONMNTL PRTNS LP,157.342,1.976,78.355,1.346514066,18.179,58.191,0,1389
2020,CELPQ,CYPRESS ENVIRONMNTL PRTNS LP,119.986,1.695,64.567,1.347813381,27.922,47.905,0,1389
2021,CELPQ,CYPRESS ENVIRONMNTL PRTNS LP,96.978,0.056,55.789,1.614265046,3.317,34.56,0,1389
2018,CHAPQ,CHAPARRAL ENERGY INC,1340.669,324.063,307.471,0.347547777,146.241,884.687,1,1311
2019,CHAPQ,CHAPARRAL ENERGY INC,988.432,267.068,424.162,1.016831239,113.657,417.141,0,1311
2014,CHRD,CHORD ENERGY CORP,5938.412,1400.528,2700,1.44207582,872.516,1872.301,0,1311
2015,CHRD,CHORD ENERGY CORP,5649.375,848.664,2302.584,0.992774675,359.815,2319.342,0,1311
2016,CHRD,CHORD ENERGY CORP,6178.632,1207.778,2297.214,0.785867471,228.018,2923.157,0,1311
2017,CHRD,CHORD ENERGY CORP,6615.13,709.223,2097.606,0.596999811,507.876,3513.579,1,1311
2018,CHRD,CHORD ENERGY CORP,7626.142,1730.611,2735.276,0.697973911,996.421,3918.88,0,1311
2019,CHRD,CHORD ENERGY CORP,7499.253,890.23,2742.041,0.714616397,892.853,3837.081,0,1311
2020,CHRD,CHORD ENERGY CORP,2159.037,341.812,718.499,0.709461174,298.191,1012.739,0,1311
2021,CHRD,CHORD ENERGY CORP,3026.787,212.82,408.329,0.334264919,914.136,1221.573,1,1311
2022,CHRD,CHORD ENERGY CORP,6631.081,531.327,419.217,0.089580149,1924.026,4679.798,1,1311
2023,CHRD,CHORD ENERGY CORP,6926.15,905.673,430.624,0.084824876,1819.851,5076.624,1,1311
2024,CHRD,CHORD ENERGY CORP,13032.007,1179.075,900.697,0.10350148,2097.227,8702.262,1,1311
2018,CHX,CHAMPIONX CORP,1971.756,57.918,666.108,0.678644602,163.9,981.527,0,3533
2019,CHX,CHAMPIONX CORP,1922.825,39.78,591.705,0.571025869,155.899,1036.214,1,3533
2020,CHX,CHAMPIONX CORP,3475.776,45.163,1057.915,0.656040804,310.04,1612.575,0,3533
2021,CHX,CHAMPIONX CORP,3534.701,84.464,842.921,0.480486597,328.219,1754.307,1,3533
2022,CHX,CHAMPIONX CORP,3387.483,102.808,734.414,0.437877076,413.36,1677.215,1,3533
2023,CHX,CHAMPIONX CORP,3241.702,142.324,708.678,0.426649473,540.271,1661.031,1,3533
2024,CHX,CHAMPIONX CORP,3470.252,141.31,752.064,0.410699561,589.681,1831.178,1,3533
2014,CIEIQ,COBALT INTL ENERGY INC,4450.863,752.73,1928.528,0.912150127,-64.526,2114.266,0,1311
2015,CIEIQ,COBALT INTL ENERGY INC,4094.103,456.414,2014.779,1.393214474,-251.942,1446.137,0,1311
2014,CIVI,CIVITAS RESOURCES INC,2006.089,827.321,840.619,1.13586264,327.72,740.071,0,1311
2015,CIVI,CIVITAS RESOURCES INC,1273.367,445.109,885.392,4.228091707,95.027,209.407,0,1311
2016,CIVI,CIVITAS RESOURCES INC,1134.478,52.788,985.365,51.69534652,14.563,19.061,0,1311
2018,CIVI,CIVITAS RESOURCES INC,1061.534,267.51,50,0.057876198,116.598,863.913,1,1311
2019,CIVI,CIVITAS RESOURCES INC,1206.318,256.915,119.23,0.127288644,224.647,936.69,1,1311
2020,CIVI,CIVITAS RESOURCES INC,1182.812,63.799,30.022,0.02872226,158.796,1045.252,1,1311
2021,CIVI,CIVITAS RESOURCES INC,6741.033,152.75,531.981,0.114281682,274.599,4654.998,1,1311
2022,CIVI,CIVITAS RESOURCES INC,7971.399,1345.598,418.081,0.077798158,2477.041,5373.919,1,1311
2023,CIVI,CIVITAS RESOURCES INC,14097.319,1509.135,4881.27,0.789680717,2238.76,6181.321,0,1311
2014,CJ,C&J ENERGY SERVICES INC,1612.746,307.598,353.748,0.452422762,181.837,781.897,1,1389
2015,CJ,C&J ENERGY SERVICES INC,2232.906,166.321,1155.51,1.826480337,103.005,632.643,0,1389
2014,CLB,CORE LABORATORIES INC,675.653,36.586,356,3.787516092,303.449,93.993,0,1389
2016,CLB,CORE LABORATORIES INC,573.052,11.356,216.488,1.394025641,131.887,155.297,0,1389
2017,CLB,CORE LABORATORIES INC,584.812,18.775,226.989,1.526161149,124.271,148.732,0,1389
2018,CLB,CORE LABORATORIES INC,648.827,21.741,289.77,1.800932256,111.827,160.9,0,1389
2019,CLB,CORE LABORATORIES INC,774.673,22.269,381.784,2.0961019,89.527,182.14,0,1389
2020,CLB,CORE LABORATORIES INC,568.579,11.88,326.978,4.326651053,57.868,75.573,0,1389
2021,CLB,CORE LABORATORIES INC,580.853,13.539,250.264,1.554425128,36.579,161.001,0,1389
2022,CLB,CORE LABORATORIES INC,578.354,10.216,222.39,1.176953121,24.956,188.954,0,1389
2023,CLB,CORE LABORATORIES INC,586.395,10.579,215.385,0.937242991,24.789,229.807,0,1389
2024,CLB,CORE LABORATORIES INC,590.406,13.028,180.144,0.69894776,56.388,257.736,0,1389
2014,CLDPQ,CLOUD PEAK ENERGY INC,2159.918,26.374,562.45,0.517036607,98.174,1087.834,1,1220
2015,CLDPQ,CLOUD PEAK ENERGY INC,1802.16,40.031,500.093,0.563243272,41.589,887.881,1,1220
2016,CLDPQ,CLOUD PEAK ENERGY INC,1714.776,36.583,482.533,0.507042949,48.716,951.661,1,1220
2017,CLDPQ,CLOUD PEAK ENERGY INC,1698.701,14.847,410.206,0.407027522,52.036,1007.809,1,1220
2018,CLDPQ,CLOUD PEAK ENERGY INC,928.656,16.085,400.661,1.364305318,16.099,293.674,0,1220
2014,CLMT,CALUMET INC,3119.8,289.9,1713.5,2.114909899,226.8,810.2,0,2911
2015,CLMT,CALUMET INC,2944.7,339.3,1699.9,2.814870012,376.4,603.9,0,2911
2016,CLMT,CALUMET INC,2725.2,139.4,1997.2,9.13214449,4.1,218.7,0,2911
2017,CLMT,CALUMET INC,2688.8,70,1992.3,16.61634696,-26.5,119.9,0,2911
2018,CLMT,CALUMET INC,2087.5,49.8,1604.5,24.42161339,75.2,65.7,0,2911
2019,CLMT,CALUMET INC,1857.8,54.9,1304.9,60.41203704,191.9,21.6,0,2911
2014,CLR,CONTINENTAL RESOURCES INC,15145.07,4716.787,5997.915,1.207347694,3355.715,4967.844,0,1311
2015,CLR,CONTINENTAL RESOURCES INC,14919.808,3080.255,7117.788,1.524510698,1857.101,4668.9,0,1311
2016,CLR,CONTINENTAL RESOURCES INC,13811.776,1164.514,6579.916,1.529503049,1125.919,4301.996,0,1311
2017,CLR,CONTINENTAL RESOURCES INC,14199.651,1953.198,6353.691,1.238245885,2079.106,5131.203,0,1311
2018,CLR,CONTINENTAL RESOURCES INC,15297.947,2914.63,5768.349,0.898236352,3456.008,6421.861,0,1311
2019,CLR,CONTINENTAL RESOURCES INC,15727.907,2860.69,5335.642,0.750616001,3115.688,7108.351,0,1311
2020,CLR,CONTINENTAL RESOURCES INC,14633.098,1514.137,5540.845,0.862693794,1422.304,6422.725,0,1311
2021,CLR,CONTINENTAL RESOURCES INC,18591.111,4997.586,6844.366,0.87119181,3973.851,7856.325,0,1311
2014,CMP,COMPASS MINERALS INTL INC,1637.2,125.2,626.4,0.958384333,242.9,653.6,0,1400
2015,CMP,COMPASS MINERALS INTL INC,1628.9,217.6,727,1.13647022,137.9,639.7,0,1400
2016,CMP,COMPASS MINERALS INTL INC,2466.5,182.2,1325,1.847719983,167.3,717.1,0,1400
2017,CMP,COMPASS MINERALS INTL INC,2571,114.1,1362.5,1.96156061,146.9,694.6,0,1400
2018,CMP,COMPASS MINERALS INTL INC,2367.9,96.8,1364.7,2.526286561,190.7,540.2,0,1400
2019,CMP,COMPASS MINERALS INTL INC,2443.2,98.1,1477.1,2.789086103,159.6,529.6,0,1400
2020,CMP,COMPASS MINERALS INTL INC,2261.5,84.9,1369.3,3.619614063,175.2,378.3,0,1400
2021,CMP,COMPASS MINERALS INTL INC,1630.9,71.8,992,3.384510406,162.7,293.1,0,1400
2022,CMP,COMPASS MINERALS INTL INC,1643.5,96.7,1011.2,3.943837754,120.5,256.4,0,1400
2023,CMP,COMPASS MINERALS INTL INC,1816.9,154.3,869.2,1.668330134,106,521,0,1400
2024,CMP,COMPASS MINERALS INTL INC,1640.1,114.2,985.8,3.113708149,14.4,316.6,0,1400
2017,CNR,CORE NATURAL RESOURCES INC,2707.099,81.413,887.771,2.583425726,248.11,343.641,0,1220
2018,CNR,CORE NATURAL RESOURCES INC,2760.727,145.749,869.038,1.575454442,413.525,551.611,0,1220
